id,id_name,sex,age,country,Gruendungsjahr,type
Boston_School,Boston Ballett School,NA,NA,USA,3,2
Boston_Ballett,Boston Ballett School,NA,NA,USA,3,2
mmag,Mayara Magri,1,4,Brasilien,NA,1
Rio_de_Janeiro,Petite Danse School ,NA,NA,Brasilien,3,2
sm,Steven McRae,2,5,Australien,NA,1
vm,Vadim Muntagirov,2,4,Russland,NA,1
Perm,Perm Ballet School,NA,NA,Russland,3,2
yn,Yasmine Naghdi,1,4,England,NA,1
mn,Marianela Nuñez,1,6,Argentinien,NA,1
Buenos_Aires_School,Teatro Colón Ballet School,NA,NA,Argentinien,3,2
St_Petersburg,St Petersburg Mussorgsky State Academic Theatre of Opera and Ballet,NA,NA,Russland,1,2
Moskau,Stanislavsky and Nemirovich-Dantshenko Academic Music Theatre in Moscow,NA,NA,Russland,2,2
os,Olga Smirnova,1,4,Russland,NA,1
St_Petersburg_Vaganova,Vaganova Ballet Academy,NA,NA,Russland,1,2
Moskau_Bolshoi,Bolshoi Ballet,NA,NA,Russland,1,2
at,Anna Tsygankova,1,6,Russland,1,1
Novosibirsk,Novosibirsk Ballet Academy,NA,NA,Russland,2,2
Budapest,Hungarian National Ballet Budapest,NA,NA,Ungarn,1,2
jx,Jessica Xuan,1,NA,China,NA,1
yz,YuanYuan Zhang,1,NA,China,NA,1
Chengdu,Sichuan Dance School,NA,NA,China,NA,2
Shanghai,Shanghai Theatre Academy,NA,NA,China,2,2
Moskau_GITIS,Russian Institute of Theatre Arts GITIS,NA,NA,Russland,1,2
no,Natalia Osipova,1,5,Russland,NA,1
Moskau_School,Mikhail Lavrosky Ballet School,NA,NA,Russland,3,2
Moskau_Bolshoi_Academy,Moscow State Academy of Choreography,NA,NA,Russland,1,2
St_Petersburg_Ballett,Mikhailovsky Ballet,NA,NA,Russland,1,2
aro,Anna Rose O’Sullivan,1,3,England,NA,1
London_Children,London Children's Ballet,NA,NA,England,3,2
cr,Calvin Richardson,2,3,Australien,NA,1
ms,Marcelino Sambé,2,3,Portugal,NA,1
Lissabon,National Conservatory of Lisbon,NA,NA,Portugal,1,2
js,Joseph Sissens,2,3,England,NA,1
Ware,Georgina Pay School of Dance,NA,NA,England,3,2
ata,Akane Takada,1,4,Japan,NA,1
Tokio_Studio,Hiromi Takahashi Ballet Studio,NA,NA,Japan,3,2
ca,Constantine Allen,2,NA,USA,NA,1
Honolulu,Pacific Ballet Academy,NA,NA,USA,NA,2
ss,Swetlana Sacharowa,1,6,Ukraine,NA,1
Kiew,Choreografische Schule Kiew,NA,NA,Ukraine,3,2
St_Petersburg_Mariinsky,Mariinsky Ballett,NA,NA,Russland,1,2
ak,Alyona Kovalyova,1,NA,Russland,NA,1
jst,Julia Stepanova,1,NA,Russland,NA,1
Moskau_Kammeroper,Moscow State Academic Chamber Opera Theatre,NA,NA,Russland,3,2
ast,Anastasia Stashkevich,1,NA,Russland,NA,1
an,Anna Nikulina,1,5,Russland,NA,1
eo,Evgina Obraztsova,1,6,Russland,NA,1
ek,Ekaterina Krysanova,1,5,Russland,NA,1
Moskau_Galina,Galina Vishnevskaya Opera Centre,NA,NA,Russland,3,2
ab,Artemy Beljakow,2,4,Russland,NA,1
st,Semjon Tschudin,2,NA,Russland,NA,1
Novosibirsk_College,Novosibirsk Choreographic College,NA,NA,Russland,2,2
Seoul_Universal_Ballett,Universal Ballet,NA,NA,Suedkorea,3,2
eg,Egor Gerashenko,2,NA,Russland,NA,1
wl,Wladislaw Lantratow,2,5,Russland,NA,1
ml,Michail Lobukhin,2,NA,Russland,NA,1
wlo,Wjatscheslaw Lopatin,2,5,Russland,NA,1
Woronesch,Voronezh Choreographic College,NA,NA,Russland,2,2
aow,Artem Owtscharenko,2,5,Ukraine,NA,1
Dnipropetrowsk,Dnipropetrovsk State Choreographic School,NA,NA,Ukraine,3,2
Washington,Kirov Ballet Academy,NA,NA,USA,3,2
ygc,Young Gyu Choi,2,4,Suedkorea,NA,1
Seoul_School,Sun Hwa Arts School,NA,NA,Suedkorea,3,2
